Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-SRW - CHICAGO BOARD OF TRADE,260203,2/3/26,001602,CBT ,00,001 ,543432,80722,79906,75619,9371,42209,88319,169862,156510,33000,16953,35225,511604,510036,31828,33396,386876,57571,37992,30019,21640,25080,104108,149709,93153,36359,19167,17173,363463,363914,23413,22962,156556,23151,41914,58775,906,3954,32058,68000,15510,7802,8947,6891,148141,146122,8415,10434,7404,-5208,1961,-1214,1916,9251,945,-11559,-134,553,-837,3827,8020,4425,-616,2979,100,14.9,14.7,13.9,1.7,7.8,16.3,31.3,28.8,6.1,3.1,6.5,94.1,93.9,5.9,6.1,100,14.9,9.8,7.8,5.6,6.5,26.9,38.7,24.1,9.4,5,4.4,93.9,94.1,6.1,5.9,100,14.8,26.8,37.5,0.6,2.5,20.5,43.4,9.9,5,5.7,4.4,94.6,93.3,5.4,6.7,362,66,73,21,5,17,49,85,73,58,34,57,273,281,344,57,59,16,11,11,56,74,55,58,33,36,236,237,229,44,59,17,4,8,31,38,26,29,31,21,150,161,13.6,11.9,22.3,20.7,9.2,7.1,14.3,13.2,14.9,15.2,24.2,25.2,10.3,10.2,17,18.5,21.4,19.9,36.4,35.5,20.9,19.5,35,34.9,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,260127,1/27/26,001602,CBT ,00,001 ,536028,85930,77945,76833,7455,32958,87374,181421,156644,32447,17790,31398,503584,505611,32444,30417,389937,64335,40767,28614,17372,19080,110511,166584,92583,37628,19345,12826,365577,368557,24360,21380,146091,21595,37178,58761,625,3336,27572,65546,13352,7157,10783,6234,138007,137054,8084,9037,16797,2420,8106,-8337,-542,6402,1852,-17661,12849,-6646,-1473,8030,16570,15711,227,1086,100,16,14.5,14.3,1.4,6.1,16.3,33.8,29.2,6.1,3.3,5.9,93.9,94.3,6.1,5.7,100,16.5,10.5,7.3,4.5,4.9,28.3,42.7,23.7,9.6,5,3.3,93.8,94.5,6.2,5.5,100,14.8,25.4,40.2,0.4,2.3,18.9,44.9,9.1,4.9,7.4,4.3,94.5,93.8,5.5,6.2,376,65,73,22,5,17,53,86,74,62,39,61,281,289,361,55,60,20,9,11,57,79,58,65,37,35,246,243,230,44,57,19,,7,27,36,23,31,35,25,150,160,13.6,14.9,22,23.7,8.6,8.5,14.5,15.8,16.6,17.8,25.7,27.9,9.8,11.3,16.3,20.3,23,22.5,37.6,37.9,23,22.3,37.6,37.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,260120,1/20/26,001602,CBT ,00,001 ,519231,83510,69839,85170,7997,26556,85522,199082,143795,39093,19263,23368,487014,489900,32217,29331,383366,63436,37575,33624,14644,16814,103800,177372,90163,45299,20749,4866,358002,362183,25364,21183,135865,20074,32264,58518,325,2770,23745,63733,11609,6178,10898,6118,129012,127717,6853,8148,5521,2360,-240,3499,133,661,-4768,545,4704,1216,3608,-3936,3736,5475,1785,46,100,16.1,13.5,16.4,1.5,5.1,16.5,38.3,27.7,7.5,3.7,4.5,93.8,94.4,6.2,5.6,100,16.5,9.8,8.8,3.8,4.4,27.1,46.3,23.5,11.8,5.4,1.3,93.4,94.5,6.6,5.5,100,14.8,23.7,43.1,0.2,2,17.5,46.9,8.5,4.5,8,4.5,95,94,5,6,383,75,73,26,,16,51,90,71,66,36,52,282,286,368,68,57,23,7,9,53,85,59,64,37,25,249,239,223,44,59,19,,7,28,35,23,28,31,23,148,154,13.6,14.6,22.3,23.8,9.2,9.1,15.4,16.5,17.1,16.8,25.4,27.3,10.2,11.6,17,20.5,25,25.1,40,39.5,25,24.9,40,38.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,260113,1/13/26,001602,CBT ,00,001 ,513710,81150,70079,81671,7864,25895,90290,198537,139091,37877,15655,27304,483278,484425,30432,29285,382948,62441,37452,33424,15466,15511,101123,174882,92291,45805,17528,8381,358976,361511,23972,21437,130762,18709,32627,56024,175,2607,25276,59764,10691,5685,11740,5310,124302,122914,6460,7848,12942,-4142,5452,8350,-1152,1099,239,-997,7276,-63,-893,2465,15224,13250,-2282,-308,100,15.8,13.6,15.9,1.5,5,17.6,38.6,27.1,7.4,3,5.3,94.1,94.3,5.9,5.7,100,16.3,9.8,8.7,4,4.1,26.4,45.7,24.1,12,4.6,2.2,93.7,94.4,6.3,5.6,100,14.3,25,42.8,0.1,2,19.3,45.7,8.2,4.3,9,4.1,95.1,94,4.9,6,380,71,75,26,,17,51,90,70,63,38,53,276,290,369,63,60,21,9,12,54,83,59,64,39,29,244,250,221,43,60,19,,7,28,34,19,26,34,21,142,152,13.6,14.6,22.4,24,9.6,9.6,15.7,16.7,16.8,16.8,25.8,27.6,10.2,12,16.3,20.4,25.6,23.3,39.8,39.3,25.5,23.2,39.7,38.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,260106,1/6/26,001602,CBT ,00,001 ,500768,85292,64627,73321,9016,24796,90051,199534,131815,37940,16548,24839,468054,471175,32714,29593,386749,70672,41871,37606,16256,15442,98682,175835,87416,42143,19330,8331,360292,364481,26457,22268,114019,14620,22756,42966,11,2103,24124,56454,11644,7646,9067,4659,107762,106694,6257,7325,12280,4127,-6944,4113,190,-48,-5323,6964,3058,1199,6012,1711,8837,10943,3443,1337,100,17,12.9,14.6,1.8,5,18,39.8,26.3,7.6,3.3,5,93.5,94.1,6.5,5.9,100,18.3,10.8,9.7,4.2,4,25.5,45.5,22.6,10.9,5,2.2,93.2,94.2,6.8,5.8,100,12.8,20,37.7,0,1.8,21.2,49.5,10.2,6.7,8,4.1,94.5,93.6,5.5,6.4,374,68,73,24,4,16,52,90,70,66,36,48,269,282,364,60,59,20,8,14,55,84,62,64,36,24,240,247,215,41,59,18,,6,27,32,22,28,29,19,137,149,13,15.4,21.6,25.3,9.2,10.7,14.1,17.8,14.9,18,24.1,28.3,10,12.9,16.1,21.3,23.7,24.8,38.3,40.4,23.6,24.7,38,39.9,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260203,2/3/26,001612,CBT ,00,001 ,312784,39819,103101,78739,2687,10894,70707,78484,66091,13369,13734,15425,295044,290416,17740,22368,221453,19449,80049,49027,2250,6468,75121,65910,35005,19225,12542,3770,208065,205994,13388,15459,91331,20370,23052,29936,661,4202,20899,37887,5773,1904,8952,3895,86979,84422,4352,6909,494,-2077,-2390,3375,-1287,-2663,6839,5722,-4179,-2686,3407,399,-992,-991,1486,1485,100,12.7,33,25.2,0.9,3.5,22.6,25.1,21.1,4.3,4.4,4.9,94.3,92.8,5.7,7.2,100,8.8,36.1,22.1,1,2.9,33.9,29.8,15.8,8.7,5.7,1.7,94,93,6,7,100,22.3,25.2,32.8,0.7,4.6,22.9,41.5,6.3,2.1,9.8,4.3,95.2,92.4,4.8,7.6,256,59,62,21,4,12,36,59,49,19,31,28,196,190,248,45,59,20,5,9,41,54,37,25,24,18,164,175,164,37,45,19,,6,25,26,20,10,19,13,116,108,12.6,13.5,22.9,22.2,10.6,10.2,19.3,17.3,14.5,15.3,27.2,25.5,13.4,13.2,24.3,22.1,22.4,24.5,35.5,38.5,19.4,23.2,32.1,35.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260127,1/27/26,001612,CBT ,00,001 ,312290,41896,105491,75364,3974,13557,63868,72762,70270,16055,10327,15026,296036,291407,16254,20883,231459,21009,86589,47767,4646,8588,77907,63515,38469,20689,9769,4600,219029,216176,12430,15283,80831,20887,18902,28297,28,4269,13206,36492,4556,2083,7275,3709,77007,75231,3824,5600,2150,680,4495,-41,-290,1068,518,-3601,4042,-2885,-330,-1401,1981,3983,169,-1833,100,13.4,33.8,24.1,1.3,4.3,20.5,23.3,22.5,5.1,3.3,4.8,94.8,93.3,5.2,6.7,100,9.1,37.4,20.6,2,3.7,33.7,27.4,16.6,8.9,4.2,2,94.6,93.4,5.4,6.6,100,25.8,23.4,35,0,5.3,16.3,45.1,5.6,2.6,9,4.6,95.3,93.1,4.7,6.9,264,60,66,21,5,11,41,56,47,22,29,26,197,193,256,46,61,18,8,7,45,52,38,31,22,16,168,176,165,40,48,20,,6,21,25,17,11,20,10,111,109,12.7,12.6,22.8,21.9,10.5,11,19,17.9,14.6,15.6,26.8,26.9,12.9,14.4,23.5,23.7,22,23.3,35.4,36.8,18.7,22.2,32,33.6,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260120,1/20/26,001612,CBT ,00,001 ,310140,41216,100996,75405,4264,12489,63350,76363,66228,18940,10657,16427,294055,287424,16085,22716,231300,19973,84651,49821,5164,6903,78376,66336,35836,23512,10361,4866,219287,214117,12013,17183,78840,21243,16345,26496,12,4674,11160,36213,4206,1490,6358,5499,74768,73307,4072,5533,7200,8197,2558,-329,-167,247,-1740,-1902,2375,-2813,1739,1186,7123,6036,77,1164,100,13.3,32.6,24.3,1.4,4,20.4,24.6,21.4,6.1,3.4,5.3,94.8,92.7,5.2,7.3,100,8.6,36.6,21.5,2.2,3,33.9,28.7,15.5,10.2,4.5,2.1,94.8,92.6,5.2,7.4,100,26.9,20.7,33.6,0,5.9,14.2,45.9,5.3,1.9,8.1,7,94.8,93,5.2,7,256,56,60,21,4,12,42,55,43,27,27,23,190,183,249,45,56,18,7,7,44,51,34,32,21,14,164,166,153,36,44,20,,4,19,25,16,11,18,12,106,100,13,13.9,23.6,22.7,10.7,11.8,19,18.3,15.5,16.3,28,27,13.5,15.3,24.1,24.2,21.7,23.3,35,37.7,18.2,22.1,31.5,34,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260113,1/13/26,001612,CBT ,00,001 ,302940,33019,98438,75734,4431,12242,65090,78265,63853,21753,8918,15241,286932,281388,16008,21552,229986,16966,82947,49427,5361,7101,76443,68522,35144,27311,8990,5387,217779,213452,12207,16534,72954,16053,15491,27249,12,4199,12609,33705,4747,1626,7112,2670,69153,67936,3801,5018,1670,-4782,410,8587,121,-703,-1553,-4132,-342,-1222,3327,2458,2443,1139,-773,531,100,10.9,32.5,25,1.5,4,21.5,25.8,21.1,7.2,2.9,5,94.7,92.9,5.3,7.1,100,7.4,36.1,21.5,2.3,3.1,33.2,29.8,15.3,11.9,3.9,2.3,94.7,92.8,5.3,7.2,100,22,21.2,37.4,0,5.8,17.3,46.2,6.5,2.2,9.7,3.7,94.8,93.1,5.2,6.9,255,52,61,21,4,12,43,56,48,26,23,21,185,185,249,39,57,19,6,8,47,51,38,32,17,16,160,170,155,32,45,20,,4,21,25,16,10,17,12,103,100,13.5,14,24.5,23.3,12.2,12.4,21,19.1,15.4,16.6,27.3,26.8,13.8,15.7,24.5,24.2,24.5,24.8,38.5,38.9,20.7,22.1,34.7,35,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260106,1/6/26,001612,CBT ,00,001 ,301270,37801,98028,67147,4310,12945,66643,82397,64195,22975,5591,12783,284489,280249,16781,21021,235688,21254,84597,48911,5752,7219,77455,74173,37437,25902,5610,4461,222639,219249,13049,16439,65582,16547,13431,19888,210,4074,11780,30816,4166,1886,4794,3509,61850,61000,3732,4582,6888,-1716,2332,-283,1022,1177,4102,1221,-258,1001,452,1601,5624,7547,1264,-659,100,12.5,32.5,22.3,1.4,4.3,22.1,27.3,21.3,7.6,1.9,4.2,94.4,93,5.6,7,100,9,35.9,20.8,2.4,3.1,32.9,31.5,15.9,11,2.4,1.9,94.5,93,5.5,7,100,25.2,20.5,30.3,0.3,6.2,18,47,6.4,2.9,7.3,5.4,94.3,93,5.7,7,250,50,58,21,,12,42,58,49,28,19,23,188,179,245,37,55,19,5,7,44,55,39,33,15,17,161,166,148,33,40,19,,5,23,22,16,11,14,11,104,92,12.8,13.8,23.9,22.6,12.4,12.1,21.1,19.4,15.5,16.1,26.9,26.6,14.1,15.2,24.3,24.7,22,25.4,36.3,40.9,19.5,22.3,31.8,36.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
